구,행정동,설치장소,경도,위도
은평구,녹번동,서울특별시 은평구 은평로9길 23,126.9216765,37.60236221
은평구,녹번동,서울특별시 은평구 응암로 347,126.9221997,37.60220479
은평구,녹번동,서울특별시 은평구 은평로11길 17-1,126.9231706,37.60242088
은평구,녹번동,서울특별시 은평구 은평로11길 24,126.9235263,37.60288365
은평구,녹번동,서울특별시 은평구 은평로11길 35,126.9233978,37.6039457
은평구,녹번동,서울특별시 은평구 은평로13길 34,126.9240085,37.60400532
은평구,녹번동,서울특별시 은평구 서오릉로 28,126.9256908,37.60357011
은평구,녹번동,서울특별시 은평구 서오릉로 30-16,126.9263943,37.60347739
은평구,녹번동,서울특별시 은평구 녹번로1길 17,126.9268365,37.60502217
은평구,녹번동,서울특별시 은평구 녹번로3길 11,126.9276519,37.60581348
은평구,녹번동,서울특별시 은평구 녹번로7길 30,126.9285837,37.60638958
은평구,녹번동,서울특별시 은평구 녹번로3길 8-3,126.9282628,37.60586407
은평구,녹번동,서울특별시 은평구 서오릉로4길 18-1,126.9260932,37.60552
은평구,녹번동,서울특별시 은평구 서오릉로4길 10,126.9258637,37.60494125
은평구,녹번동,서울특별시 은평구 서오릉로 48-7,126.924429,37.60547783
은평구,녹번동,서울특별시 은평구 서오릉로6가길 3,126.9244605,37.60643321
은평구,녹번동,서울특별시 은평구 서오릉로6길 18,126.9248446,37.60649978
은평구,녹번동,서울특별시 은평구 서오릉로6길 3,126.9235344,37.60625358
은평구,녹번동,서울특별시 은평구 서오릉로 64-2,126.9234199,37.60634264
은평구,녹번동,서울특별시 은평구 진흥로 122-3,126.9241222,37.60712393
은평구,녹번동,서울특별시 은평구 진흥로 138-25,126.9247375,37.60685922
은평구,녹번동,서울특별시 은평구 진흥로 138-5,126.9256317,37.60768729
은평구,녹번동,서울특별시 은평구 녹번로3길 17-1,126.9270372,37.60603315
은평구,녹번동,서울특별시 은평구 진흥로12가길 8-43,126.9282052,37.60751244
은평구,녹번동,서울특별시 은평구 진흥로12가길 18-12,126.9283652,37.60740576
은평구,녹번동,서울특별시 은평구 진흥로12가길 11,126.9279237,37.60818566
은평구,녹번동,서울특별시 은평구 진흥로12가길 14,126.9280618,37.60803373
은평구,녹번동,서울특별시 은평구 녹번로9길 5,126.9310559,37.60695259
은평구,녹번동,서울특별시 은평구 녹번로7길 14,126.9300376,37.6068803
은평구,녹번동,서울특별시 은평구 통일로 665-4,126.9333806,37.60595543
은평구,녹번동,서울특별시 은평구 통일로59길 16,126.9323502,37.6051442
은평구,녹번동,서울특별시 은평구 녹번로6길 13,126.9324913,37.60557797
은평구,녹번동,서울특별시 은평구 통일로59길 8-10,126.9327828,37.60577884
은평구,녹번동,서울특별시 은평구 통일로57길 6-11,126.9333018,37.60512577
은평구,녹번동,서울특별시 은평구 통일로57길 16,126.932834,37.60457191
은평구,녹번동,서울특별시 은평구 통일로53길 12,126.9334889,37.60392007
은평구,녹번동,서울특별시 은평구 통일로 639-9,126.9339456,37.60366289
은평구,녹번동,서울특별시 은평구 통일로53길 9-13,126.9343779,37.60352263
은평구,녹번동,서울특별시 은평구 은평로21길 3,126.9335588,37.60139781
은평구,녹번동,서울특별시 은평구 은평로21길 11,126.9328521,37.6017158
은평구,녹번동,서울특별시 은평구 은평로21길 31-15,126.9312297,37.6019264
은평구,녹번동,서울특별시 은평구 은평로21길 30-2,126.9314689,37.60262236
은평구,녹번동,서울특별시 은평구 은평로21길 42,126.9298779,37.60300441
은평구,녹번동,서울특별시 은평구 은평로21가길 4,126.929534,37.60329864
은평구,녹번동,서울특별시 은평구 은평로21가길 13,126.9298504,37.60413947
은평구,녹번동,서울특별시 은평구 은평로21가길 25,126.9310872,37.60476336
은평구,녹번동,서울특별시 은평구 녹번로4길 6,126.9302073,37.60531404
은평구,녹번동,서울특별시 은평구 녹번로 55,126.9306461,37.60630915
은평구,녹번동,서울특별시 은평구 녹번로 53-3,126.9302981,37.60608975
은평구,녹번동,서울특별시 은평구 녹번로 45,126.9294542,37.60570367
은평구,녹번동,서울특별시 은평구 녹번로 6-30,126.9283742,37.6028286
은평구,불광1동,서울특별시 은평구 진흥로19길 14,126.9406031,37.611778
은평구,불광1동,서울특별시 은평구 진흥로19길 23,126.9396268,37.61193143
은평구,불광1동,서울특별시 은평구 진흥로15길 3,126.9320361,37.60969158
